-31.378557	7.247104	168.810126
-23.566814	8.17509	164.33404
-13.089427	8.486314	160.409253
-52.564395	7.172687	162.621311
-68.894041	6.421597	163.90208
-79.037362	5.928183	164.74872
-123.508841	2.2305	171.23785
-141.031526	-1.068331	177.597023
-154.212263	4.690145	194.991208
-168.907208	2.857102	203.380734
-184.847844	0.31275	213.819932
-205.01386	-5.259348	228.012849
-208.429808	0.493144	225.16283
-202.845057	-0.049719	225.586321
-198.025079	-0.892108	225.722549
-193.683721	-2.059502	225.806418
-189.761633	-3.549963	225.766891
-188.430626	-0.451782	221.649931
-181.331724	-4.390084	220.49435
-177.297218	2.396346	211.194614
-171.122578	-2.780661	208.518133
-166.733029	3.613289	200.371079
-163.03716	-0.714142	197.770004
-152.561906	-1.07121	197.542627
-143.315595	-1.763364	197.096003
-134.372438	-2.80195	196.423542
-134.114428	-2.456353	181.277059
-133.56544	-1.732921	167.299291
-124.940734	-3.115911	166.322901
-116.626986	-4.839674	165.100404
-115.799762	-3.72968	151.494204
-114.68323	-2.235478	138.237708
-106.695507	-4.28965	136.816136
-99.016482	-6.674784	135.148719
-97.635788	-4.80127	122.288366
-95.982419	-2.560995	109.781714
-95.513185	-1.913483	67.887808
-65.328414	-2.569105	67.431965
-45.338518	-3.54292	66.754151
-44.593006	-2.525644	38.118736
-24.750796	-3.931331	37.164236
-23.199283	-1.734911	-2.573377
-3.547396	-3.545921	-3.711056
